Nidoran♂, male
Ledian, both
Spinarak, both
Ariados, both
Crobat, both
Chinchou, both
Lanturn, both
Natu, both
Xatu, both
Mareep, both
Flaaffy, both
Ampharos, both
Bellossom, both
Marill, both
Azumarill, both
Sudowoodo, both
Politoed, both
Hoppip, both
Skiploom, both
Jumpluff, both
Aipom, both
Sunkern, both
Sunflora, both
Yanma, both
Wooper, both
Quagsire, both
Murkrow, both
Slowking, both
Misdreavus, both
Wobbuffet, both
Girafarig, both
Pineco, both
Forretress, both
Dunsparce, both
Gligar, both
Steelix, both
Qwilfish, both
Scizor, both
Shuckle, both
Heracross, both
Sneasel, both
Teddiursa, both
Ursaring, both
Slugma, both
Magcargo, both
Swinub, both
Piloswine, both
Remoraid, both
Octillery, both
Delibird, both
Mantine, both
Skarmory, both
Houndour, both
Houndoom, both
Kingdra, both
Phanpy, both
Donphan, both
Stantler, both
Smeargle, both
Larvitar, both
Pupitar, both
Tyranitar, both
Poochyena, both
Mightyena, both
Zigzagoon, both
Linoone, both
Wurmple, both
Silcoon, both
Beautifly, both
Cascoon, both
Dustox, both
Lotad, both
Lombre, both
Ludicolo, both
Seedot, both
Nuzleaf, both
Shiftry, both
Taillow, both
Swellow, both
Wingull, both
Pelipper, both
Ralts, both
Kirlia, both
Gardevoir, both
Surskit, both
Masquerain, both
Shroomish, both
Breloom, both
Slakoth, both
Vigoroth, both
Slaking, both
Nincada, both
Ninjask, both
Whismur, both
Loudred, both
Exploud, both
Nosepass, both
Sableye, both
Mawile, both
Aron, both
Lairon, both
Aggron, both
Meditite, both
Medicham, both
Electrike, both
Manectric, both
Plusle, both
Minun, both
Roselia, both
Gulpin, both
Swalot, both
Carvanha, both
Sharpedo, both
Wailmer, both
Wailord, both
Numel, both
Camerupt, both
Torkoal, both
Spoink, both
Grumpig, both
Spinda, both
Trapinch, both
Vibrava, both
Flygon, both
Cacnea, both
Cacturne, both
Swablu, both
Altaria, both
Zangoose, both
Seviper, both
Barboach, both
Whiscash, both
Corphish, both
Crawdaunt, both
Feebas, both
Milotic, both
Castform, both
Kecleon, both
Shuppet, both
Banette, both
Duskull, both
Dusclops, both
Tropius, both
Chimecho, both
Absol, both
Snorunt, both
Glalie, both
Spheal, both
Sealeo, both
Walrein, both
Clamperl, both
Huntail, both
Gorebyss, both
Bagon, both
Shelgon, both
Salamence, both
Starly, both
Staravia, both
Staraptor, both
Bidoof, both
Bibarel, both
Kricketot, both
Kricketune, both
Shinx, both
Luxio, both
Luxray, both
Roserade, both
Burmy, both
Pachirisu, both
Buizel, both
Floatzel, both
Cherubi, both
Cherrim, both
Shellos, both
Gastrodon, both
Ambipom, both
Drifloon, both
Drifblim, both
Buneary, both
Lopunny, both
Mismagius, both
Honchkrow, both
Stunky, both
Skuntank, both
Chatot, both
Spiritomb, both
Gible, both
Gabite, both
Garchomp, both
Hippopotas, both
Hippowdon, both
Skorupi, both
Drapion, both
Croagunk, both
Toxicroak, both
Carnivine, both
Finneon, both
Lumineon, both
Snover, both
Abomasnow, both
Weavile, both
Lickilicky, both
Rhyperior, both
Tangrowth, both
Yanmega, both
Gliscor, both
Mamoswine, both
Probopass, both
Dusknoir, both
Patrat, both
Watchog, both
Lillipup, both
Herdier, both
Stoutland, both
Purrloin, both
Liepard, both
Munna, both
Musharna, both
Pidove, both
Tranquill, both
Unfezant, both
Blitzle, both
Zebstrika, both
Roggenrola, both
Boldore, both
Gigalith, both
Woobat, both
Swoobat, both
Drilbur, both
Excadrill, both
Audino, both
Tympole, both
Palpitoad, both
Seismitoad, both
Sewaddle, both
Swadloon, both
Leavanny, both
Venipede, both
Whirlipede, both
Scolipede, both
Cottonee, both
Whimsicott, both
Basculin, both
Sandile, both
Krokorok, both
Krookodile, both
Darumaka, both
Darmanitan, both
Maractus, both
Dwebble, both
Crustle, both
Scraggy, both
Scrafty, both
Sigilyph, both
Yamask, both
Cofagrigus, both
Trubbish, both
Garbodor, both
Solosis, both
Duosion, both
Reuniclus, both
Ducklett, both
Swanna, both
Vanillite, both
Vanillish, both
Vanilluxe, both
Deerling, both
Sawsbuck, both
Emolga, both
Karrablast, both
Escavalier, both
Foongus, both
Amoonguss, both
Frillish, both
Jellicent, both
Alomomola, both
Joltik, both
Galvantula, both
Ferroseed, both
Ferrothorn, both
Tynamo, both
Eelektrik, both
Eelektross, both
Elgyem, both
Beheeyem, both
Litwick, both
Lampent, both
Chandelure, both
Axew, both
Fraxure, both
Haxorus, both
Cubchoo, both
Beartic, both
Shelmet, both
Accelgor, both
Stunfisk, both
Mienfoo, both
Mienshao, both
Druddigon, both
Pawniard, both
Bisharp, both
Bouffalant, both
Heatmor, both
Durant, both
Deino, both
Zweilous, both
Hydreigon, both
Larvesta, both
Volcarona, both
Bunnelby, both
Diggersby, both
Fletchling, both
Fletchinder, both
Talonflame, both
Scatterbug, both
Spewpa, both
Vivillon, both
Skiddo, both
Gogoat, both
Pancham, both
Pangoro, both
Furfrou, both
Espurr, both
Meowstic, both
Honedge, both
Doublade, both
Aegislash, both
Spritzee, both
Aromatisse, both
Swirlix, both
Slurpuff, both
Inkay, both
Malamar, both
Binacle, both
Barbaracle, both
Skrelp, both
Dragalge, both
Clauncher, both
Clawitzer, both
Helioptile, both
Heliolisk, both
Hawlucha, both
Dedenne, both
Goomy, both
Sliggoo, both
Goodra, both
Klefki, both
Phantump, both
Trevenant, both
Pumpkaboo, both
Gourgeist, both
Bergmite, both
Avalugg, both
Noibat, both
Noivern, both
Pikipek, both
Trumbeak, both
Toucannon, both
Yungoos, both
Gumshoos, both
Grubbin, both
Charjabug, both
Vikavolt, both
Crabrawler, both
Crabominable, both
Cutiefly, both
Ribombee, both
Rockruff, both
Lycanroc, both
Wishiwashi, both
Mareanie, both
Toxapex, both
Mudbray, both
Mudsdale, both
Dewpider, both
Araquanid, both
Fomantis, both
Lurantis, both
Morelull, both
Shiinotic, both
Stufful, both
Bewear, both
Oranguru, both
Passimian, both
Wimpod, both
Golisopod, both
Sandygast, both
Palossand, both
Pyukumuku, both
Komala, both
Turtonator, both
Togedemaru, both
Mimikyu, both
Bruxish, both
Drampa, both
Jangmo-o, both
Hakamo-o, both
Kommo-o, both
Pichu, both
Wynaut, both
Budew, both
Chingling, both
Bonsley, both
Mime Jr., both
Mantyke, both
Heatran, both
Clefairy, both
Clefable, both
Vulpix, both
Ninetales, both
Jigglypuff, both
Wigglytuff, both
Snubbull, both
Granbull, both
Corsola, both
Skitty, both
Delcatty, both
Luvdisc, both
Glameow, both
Purugly, both
Minccino, both
Cinccino, both
Gothita, both
Gothorita, both
Gothitelle, both
Oricorio, both
Comfey, both
Cleffa, both
Igglybuff, both
Azurill, both
Litleo, both
Pyroar, both
Nidoran♀, female
Chansey, female
Kangaskhan, female
Jynx, female
Miltank, female
Blissey, female
Illumise, female
Wormadam, female
Vespiquen, female
Froslass, female
Petilil, female
Lilligant, female
Vullaby, female
Mandibuzz, female
Flabébé, female
Floette, female
Florges, female
Salazzle, female
Bounsweet, female
Steenee, female
Tsareena, female
Nidorina, female
Nidoqueen, female
Smoochum, female
Latias, female legend
Happiny, female
Cresselia, female legend
Magnemite, genderless
Magneton, genderless
Voltorb, genderless
Electrode, genderless
Staryu, genderless
Starmie, genderless
Porygon, genderless
Porygon2, genderless
Shedinja, genderless
Lunatone, genderless
Solrock, genderless
Baltoy, genderless
Claydol, genderless
Beldum, genderless
Metang, genderless
Metagross, genderless
Bronzor, genderless
Bronzong, genderless
Magnezone, genderless
Porygon-Z, genderless
Rotom, genderless
Phione, genderless
Manaphy, genderless
Klink, genderless
Klang, genderless
Klinklang, genderless
Cryogonal, genderless
Golett, genderless
Golurk, genderless
Carbink, genderless
Minior, genderless
Dhelmise, genderless
Ditto, genderless
Articuno, genderless
Zapdos, genderless
Moltres, genderless
Mewtwo, genderless
Mew, genderless
Unown, genderless
Raikou, genderless
Entei, genderless
Suicune, genderless
Lugia, genderless
Ho-Oh, genderless
Celebi, genderless
Regirock, genderless
Regice, genderless
Registeel, genderless
Kyogre, genderless
Groudon, genderless
Rayquaza, genderless
Jirachi, genderless
Deoxys, genderless
Uxie, genderless
Mesprit, genderless
Azelf, genderless
Dialga, genderless
Palkia, genderless
Regigigas, genderless
Giratina, genderless
Darkrai, genderless
Shaymin, genderless
Arceus, genderless
Victini, genderless
Cobalion, genderless
Terrakion, genderless
Virizion, genderless
Reshiram, genderless
Zekrom, genderless
Kyurem, genderless
Keldeo, genderless
Meloetta, genderless
Genesect, genderless
Xerneas, genderless
Yveltal, genderless
Zygarde, genderless
Diancie, genderless
Hoopa, genderless
Volcanion, genderless
Type: Null, genderless
Silvally, genderless
Tapu Koko, genderless
Tapu Lele, genderless
Tapu Bulu, genderless
Tapu Fini, genderless
Cosmog, genderless
Cosmoem, genderless
Solgaleo, genderless
Lunala, genderless
Nihilego, genderless
Buzzwole, genderless
Pheromosa, genderless
Xurkitree, genderless
Celesteela, genderless
Kartana, genderless
Guzzlord, genderless
Necrozma, genderless
Magearna, genderless
Marshadow, genderless
